index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,Promoted,Promotion_Type
1757,404-1990687-3297139,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,J0344,J0344-TP-XL,Top,XL,B09872TQWK,Unshipped,1,INR,487.0,NELLORE,ANDHRA PRADESH,524002.0,IN,,False,0,No Promotion
1758,408-9120240-9572348,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-L,Set,L,B08XNDL1DL,Shipped,1,INR,1112.0,PANCHKULA,HARYANA,134113.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1759,406-8722175-1999503,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,Shipped,1,INR,376.0,JABALPUR,MADHYA PRADESH,482001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1760,402-1689265-3757967,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0097,J0097-KR-M,kurta,M,B08BJT3PSM,Shipped,1,INR,568.0,AGARTALA,TRIPURA,799001.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1761,403-4842065-7357115,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-XL,Set,XL,B08XNJ8P3S,Shipped,1,INR,1112.0,HYDERABAD,TELANGANA,500048.0,IN,,False,0,No Promotion
1762,408-4559676-3585900,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,JNE3797,JNE3797-KR-L,Western Dress,L,B09SDXFFQ1,Shipped,1,INR,725.0,NAVI MUMBAI,MAHARASHTRA,400706.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,1,Free Shipping
1763,407-4937872-6083528,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3710,JNE3710-DR-L,Western Dress,L,B091SW66WJ,Shipped,1,INR,690.0,HYDERABAD,TELANGANA,500008.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,1,Amazon Financing
1764,403-6017656-0910755,2022-04-29,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XL,Set,XL,B09RKFRBJB,Cancelled,0,INR,,NEW DELHI,DELHI,110095.0,IN,,False,0,No Promotion
1765,405-0532803-0120331,2022-04-29,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0153,J0153-DR-XXXL,Western Dress,3XL,B08N3Y1RLL,Shipped,1,INR,443.0,AHMEDABAD,Gujarat,380015.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-N6QGG4HRHN6T4,Amazon PLCC Free-Financing Universal Merchant AAT-PZHUW6DZX4BPS,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,1,Amazon Financing
1766,405-0567281-0077956,2022-04-29,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XXL,Set,XXL,B09NQ3MPRM,Shipped,1,INR,597.0,MUMBAI,MAHARASHTRA,400030.0,IN,,False,0,No Promotion
